Chinees	Counter({'Chinese': 1})
de aanval	Counter({'the attack': 1})
de aap	Counter({'the monkey': 1})
de aardappel	Counter({'the potato': 2})
de aardbei	Counter({'the strawberry': 1})
de aarde	Counter({'the earth': 1})
de aardrijkskunde	Counter({'the geography': 1})
de abrikoos	Counter({'the apricot': 1})
de achternaam	Counter({'the surname': 1})
de adrenaline	Counter({'the adrenaline': 1})
de advertentie	Counter({'the advertisement': 1})
de advocaat	Counter({'the lawyer': 1})
de afspraak	Counter({'the appointment': 2})
de afstand	Counter({'the distance': 1})
de agenda	Counter({'the diary': 1})
de allochtoon	Counter({'the immigrant': 1})
de ambulance	Counter({'the ambulance': 1})
de angst	Counter({'the fear': 1})
de apotheek	Counter({'the pharmacy': 1})
de appel	Counter({'the apple': 2})
de applicatie	Counter({'the application': 1})
de applicatieontwikkelaar	Counter({'the application developer': 1})
de arm	Counter({'the arm': 2})
de auto	Counter({'the car': 2})
de auto van de zaak	Counter({'the company car': 1})
de autogarage	Counter({'the car garage': 1})
de autotechnologie	Counter({'the automotive engineering': 1})
de avond	Counter({'the evening': 2})
de baan	Counter({'the job': 3})
de baard	Counter({'the beard': 1})
de baas	Counter({'the boss': 2})
de baby	Counter({'the baby': 1})
de badkamer	Counter({'the bathroom': 2})
de bakker	Counter({'the baker': 1})
de bal	Counter({'the ball': 1})
de banaan	Counter({'the banana': 2})
de band	Counter({'the bond': 1})
de band hebben met	Counter({'the to have a connection with': 1})
de bank	Counter({'the couch, sofa': 1, 'the sofa, couch': 1})
de barbecue	Counter({'the barbecue': 1})
de bedoeling	Counter({'the intention': 1})
de beer	Counter({'the bear': 2})
de begroeting	Counter({'the greeting': 1})
de beha	Counter({'the bra': 1})
de behandeling	Counter({'the treatment': 1})
de belasting	Counter({'the tax': 1})
de beloning	Counter({'the reward': 1})
de benzine	Counter({'the petrol': 1})
de berg	Counter({'the mountain': 3})
de bes	Counter({'the berry': 1})
de beslissing	Counter({'the decision': 2})
de betekenis	Counter({'the meaning': 1})
de beweging	Counter({'the movement': 1})
de bewoner	Counter({'the occupant': 1})
de bezem	Counter({'the broom': 1})
de bibliotheek	Counter({'the library': 1})
de bij	Counter({'the bee': 1})
de bijbaan	Counter({'the job on the side': 1})
de bijdrage	Counter({'the contribution': 1})
de bioscoop	Counter({'the cinema': 1})
de bitterballen	Counter({'Dutch fried ragout ball': 1})
de bliksem	Counter({'the lightning': 1})
de bloem	Counter({'the flower': 2})
de bloemkool	Counter({'the cauliflower': 1})
de blouse	Counter({'the blouse, the shirt': 1})
de boekhouder	Counter({'the accountant': 1})
de boer	Counter({'the farmer': 1})
de boerderij	Counter({'the farm': 1})
de boerenkool	Counter({'the kale': 1})
de bon	Counter({'the receipt': 1})
de boodschap	Counter({'the purchase, shopping': 1})
de boodschappen	Counter({'the groceries': 1})
de boodschappenlijst	Counter({'the grocery list': 1})
de boom	Counter({'the tree': 1})
de boon	Counter({'the bean': 1})
de boot	Counter({'the boat': 1})
de borg	Counter({'the deposit': 1})
de borst	Counter({'the chest, the breast': 1})
de bosui	Counter({'the spring onion': 1})
de boter	Counter({'the butter': 1})
de boterham	Counter({'the slice of bread': 1})
de brandstof	Counter({'the fuel': 1})
de brief	Counter({'the letter': 1, 'the letter (1)': 1})
de bril	Counter({'the glasses': 1})
de broek	Counter({'the pants': 1})
de broer	Counter({'the brother': 2})
de brug	Counter({'the bridge': 1})
de bruiloft	Counter({'the wedding': 1})
de buik	Counter({'the belly, the stomach': 1})
de buren	Counter({'the neighbours': 1, 'the neighbors': 1})
de bus	Counter({'the bus': 2})
de buurt	Counter({'the neighbourhood': 1})
de caissière	Counter({'the cashier': 1})
de champignon	Counter({'the champignon': 1})
de chocomel	Counter({'the chocolate milk (2)': 1})
de cirkel	Counter({'the circle': 1})
de citroen	Counter({'the lemon': 2})
de coffeeshop	Counter({'bar where soft drugs is sold': 1})
de colbert	Counter({'the suit jacket': 1})
de collega	Counter({'the colleague': 1, 'the colleague, co-worker': 1})
de computer	Counter({'the computer': 2})
de cursus	Counter({'the course': 1})
de dag	Counter({'the day': 2})
de dagen van de week	Counter({'the days of the week': 1})
de dam	Counter({'the dam': 1})
de das	Counter({'the scarf': 1})
de datum	Counter({'the date': 1})
de deal	Counter({'the deal': 1})
de definitie	Counter({'the definition': 1})
de deur	Counter({'the door': 1})
de dienst	Counter({'the service': 1})
de diepvriezer	Counter({'the freezer': 1})
de dierenartsenpraktijk	Counter({'the veterinary clinic': 1})
de dierentuin	Counter({'the zoo': 1})
de dijk	Counter({'the dike': 1})
de directeur	Counter({'the (company) director': 1})
de dobbelstenen	Counter({'the dice': 1})
de docent	Counter({'the teacher (in a high school)': 1})
de dochter	Counter({'the daughter': 2})
de dokter	Counter({'the doctor': 2})
de dolfijn	Counter({'the dolphin': 1})
de donder	Counter({'the thunder': 1})
de dood	Counter({'the death': 1})
de douche	Counter({'the shower': 2})
de drank	Counter({'the drink': 1})
de driehoek	Counter({'the triangle': 1})
de droom	Counter({'the dream': 1})
de droombaan	Counter({'the dream job': 1})
de dropmix	Counter({'the licorice mix': 1})
de duif	Counter({'the pigeon': 1})
de duin	Counter({'the dune': 1})
de echtgenoot	Counter({'the husband': 1})
de echtgenote	Counter({'the wife': 1})
de eekhoorn	Counter({'the squirrel': 1})
de eend	Counter({'the duck': 1})
de eenhoorn	Counter({'the unicorn': 1})
de eerste hulp	Counter({'the first aid': 1})
de eetkamer	Counter({'the dining room': 1})
de eettafel	Counter({'the dining table': 1})
de eeuw	Counter({'the century': 1})
de eigenaar	Counter({'the owner': 1})
de eigenschap	Counter({'the characteristic': 1})
de elleboog	Counter({'the elbow': 1})
de ervaring	Counter({'the experience': 1})
de erwt	Counter({'the pea': 1})
de etage	Counter({'the floor (1)': 1})
de euro	Counter({'the euro': 1})
de ezel	Counter({'the donkey': 1})
de familie	Counter({'the family': 1, 'the family (2)': 1})
de fauteuil	Counter({'the armchair': 1})
de feestdag	Counter({'the public holiday': 1})
de feestdagenkalender	Counter({'the holiday calendar': 1})
de fiets	Counter({'the bicycle': 2})
de fietsenverkoper	Counter({'the bicycle salesman': 1})
de fietsenwinkel	Counter({'the bicycle shop': 1})
de film	Counter({'the movie': 1, 'the film': 1})
de fles	Counter({'the bottle': 1})
de foto	Counter({'the photo': 1})
de framboos	Counter({'the raspberry': 1})
de friet	Counter({'the French fries': 1})
de frikandel	Counter({'Dutch meat sausage': 1})
de gang	Counter({'the corridor': 1})
de gans	Counter({'the goose': 1})
de garage	Counter({'the garage': 2})
de gast	Counter({'the guest': 1})
de geboorte	Counter({'the birth': 1})
de geboortedatum	Counter({'the date of birth': 2})
de gedachte	Counter({'the thought': 1})
de geit	Counter({'the goat': 1})
de gemeente	Counter({'the municipality': 1})
de geschiedenis	Counter({'the history': 1})
de geur	Counter({'the smell': 1})
de gevoelens	Counter({'the feelings': 1})
de gewoonte	Counter({'the custom': 1})
de gezondheid	Counter({'the health': 1})
de giraffe	Counter({'the giraffe': 1})
de god	Counter({'the god': 1})
de goudvis	Counter({'the goldfish': 1})
de graad	Counter({'the degree': 1})
de graanproducten	Counter({'the cereals': 1})
de gracht	Counter({'the canal (urban)': 1, 'the canal': 1})
de graden	Counter({'the degrees': 1})
de grap	Counter({'the joke': 1})
de grens	Counter({'the border': 1})
de griep	Counter({'the flu': 1})
de groente	Counter({'the vegetable': 2})
de groep	Counter({'the group': 1})
de grond	Counter({'the ground': 1})
de haai	Counter({'the shark': 1})
de haan	Counter({'the cockerel': 1})
de haas	Counter({'the hare': 1})
de haat	Counter({'the hate': 1})
de hagelslag	Counter({'the chocolate sprinkles': 1})
de halte	Counter({'the stopping place': 1})
de ham	Counter({'the ham': 1})
de hamster	Counter({'the hamster': 1})
de hand	Counter({'the hand': 2})
de handdoek	Counter({'the towel': 1})
de handtekening	Counter({'the signature': 1})
de haven	Counter({'the port': 1})
de heer	Counter({'the lord': 1})
de hei	Counter({'the moor': 1})
de held	Counter({'the hero': 1})
de helft	Counter({'the half': 1})
de herenfiets	Counter({"the men's bicycle": 1})
de herfst	Counter({'the fall, autumm': 1})
de heuvel	Counter({'the hill': 1})
de hobby	Counter({'the hobby': 2})
de hoed	Counter({'the hat': 1})
de hoek	Counter({'the angle, corner': 1})
de hoer	Counter({'the prostitute': 1})
de hoeveelheid	Counter({'the quantity (with units)': 1, 'the quantity': 1})
de hond	Counter({'the dog': 2})
de hoofdstad	Counter({'the capital': 1})
de hoogte	Counter({'the height': 1})
de hoop	Counter({'the a) hope b) pile': 1})
de horrorfilm	Counter({'the horror movie': 1})
de huisarts	Counter({'the general practitioner': 1})
de huishoudelijke taken	Counter({'the household chores': 1})
de hulp	Counter({'the help': 1})
de huur	Counter({'the rent': 2})
de huurorganisatie	Counter({'the rental organization': 1})
de huurwoning	Counter({'the rental house': 1})
de identiteitskaart	Counter({'the identity card': 1})
de inburgering	Counter({'the assimilation (formal)': 1})
de indruk	Counter({'the impression': 1})
de informatie	Counter({'the information': 2})
de invloed	Counter({'the influence': 1})
de inwoner	Counter({'the resident': 1})
de jas	Counter({'the coat': 1})
de jongen	Counter({'the boy': 2})
de jurk	Counter({'the dress': 1})
de kaars	Counter({'the candle': 1})
de kaart	Counter({'the map': 1})
de kaas	Counter({'the cheese': 2})
de kameel	Counter({'the camel': 1})
de kamer	Counter({'the room': 2})
de kans	Counter({'the chance': 1})
de kant	Counter({'the side': 1})
de kapper	Counter({'the hairdresser': 1})
de kast	Counter({'the closet': 2})
de kat	Counter({'the cat': 2})
de keer	Counter({'the occasion, time': 1})
de kennis	Counter({'the knowledge': 1})
de kerel	Counter({'the guy, dude': 1})
de kerk	Counter({'the church': 1})
de kers	Counter({'the cherry': 1})
de kerstboom	Counter({'the Christmas tree': 1})
de kerstman	Counter({'Santa Claus': 1})
de keuken	Counter({'the kitchen': 3})
de keukenkast	Counter({'the kitchen cupboard': 1})
de keuze	Counter({'the choice': 1})
de kikker	Counter({'the frog': 1})
de kilometer	Counter({'the kilometre': 1})
de kip	Counter({'the chicken': 2})
de kipfilet	Counter({'the chicken fillet': 1})
de klant	Counter({'the customer': 2})
de klas	Counter({'the class': 1})
de klasgenoot	Counter({'the classmate': 1})
de kleding	Counter({'the clothing': 1, 'the clothes': 1})
de kledingkast	Counter({'the wardrobe': 1})
de kledingwinkel	Counter({'the clothes shop': 1})
de kleren	Counter({'the clothes': 1})
de kleur	Counter({'the colour': 1, 'the color': 1})
de klok	Counter({'the clock': 1})
de klomp	Counter({'the wooden shoe': 1})
de knie	Counter({'the knee': 1})
de knoflook	Counter({'the garlic': 1})
de koe	Counter({'the cow': 1})
de koelkast	Counter({'the fridge': 1, 'the refrigerator': 1})
de koffie	Counter({'the coffee': 2})
de kok	Counter({'the cook': 1})
de komkommer	Counter({'the cucumber': 2})
de kont	Counter({'the ass': 1})
de kookles	Counter({'the cooking class': 1})
de kool	Counter({'the cabbage': 1})
de koorts	Counter({'the fever': 1})
de kop	Counter({'the head (of animal)': 1, 'the cup': 1})
de kous	Counter({'the sock (long)': 1})
de krant	Counter({'the newspaper': 2})
de kroket	Counter({'Dutch fried ragout bar': 1})
de krokodil	Counter({'the crocodile': 1})
de kruiden	Counter({'the spices': 1})
de kruk	Counter({'the stool': 1})
de kunst	Counter({'the art': 2})
de kust	Counter({'the coast': 1})
de kwestie	Counter({'the question, issue': 1})
de laarzen	Counter({'the boots': 1})
de lamp	Counter({'the lamp': 2})
de laptop	Counter({'the laptop': 1})
de last	Counter({'the load': 1})
de leeftijd	Counter({'the age': 1})
de leerling	Counter({'the pupil': 1})
de leeuw	Counter({'the lion': 1})
de lente	Counter({'the spring': 1})
de lepel	Counter({'the spoon': 2})
de leraar	Counter({'the teacher (in a school)': 1, 'the teacher': 1})
de les	Counter({'the lesson': 2})
de letter	Counter({'the letter (2)': 1})
de liefde	Counter({'the love': 1})
de lijn	Counter({'the line': 1})
de lijst	Counter({'the list': 1})
de lucht	Counter({'the air': 1})
de lunch	Counter({'the lunch': 1})
de maaltijd	Counter({'the meal': 1})
de maan	Counter({'the moon': 2})
de maand	Counter({'the month': 3})
de machine	Counter({'the machine': 1})
de makelaar	Counter({'the real estate agent': 1})
de mama	Counter({'the mummy': 1})
de man	Counter({'the man / the husband': 1, 'the man': 1})
de mandarijn	Counter({'the mandarin': 1})
de manier	Counter({'the way': 1})
de marketing	Counter({'the marketing': 1})
de markt	Counter({'the market': 1})
de melk	Counter({'the milk': 2})
de melkchocolade	Counter({'the milk chocolate': 1})
de meloen	Counter({'the melon': 1})
de meneer	Counter({'the Mr.': 1, 'the sir': 1})
de mening	Counter({'the opinion': 2})
de meter	Counter({'the metre': 1})
de metro	Counter({'the metro': 1})
de meubels	Counter({'the furniture': 1})
de mevrouw	Counter({'the Ms./Mrs.': 1})
de middag	Counter({'the afternoon': 2})
de middernacht	Counter({'the midnight': 1})
de mier	Counter({'the ant': 1})
de minuut	Counter({'the minute': 2})
de misdaad	Counter({'the crime': 1})
de mobiele telefoon	Counter({'the cell phone': 1})
de moeder	Counter({'the mother': 2})
de moeite	Counter({'the difficulty': 1})
de mogelijkheid	Counter({'the possibility': 1})
de mond	Counter({'the mouth': 2})
de motor	Counter({'the motor': 1})
de mug	Counter({'the mosquito': 1})
de muis	Counter({'the mouse': 1})
de mus	Counter({'the sparrow': 1})
de muur	Counter({'the wall': 2})
de muziek	Counter({'the music': 2})
de muziekvideo	Counter({'the music video': 1})
de naam	Counter({'the name': 2})
de nacht	Counter({'the night': 2})
de nachtlamp	Counter({'the nightlight': 1})
de naturalisatie	Counter({'the naturalisation': 1})
de natuur	Counter({'the nature': 2})
de neerslag	Counter({'the precipitation': 1})
de neus	Counter({'the nose': 2})
de ober	Counter({'the waiter': 1})
de ochtend	Counter({'the morning': 1})
de oefening	Counter({'the exercise': 1, 'the excercise': 1})
de ogen	Counter({'the eyes': 1})
de olie	Counter({'the oil': 2})
de oliebol	Counter({'Dutch fritter with raisins': 1})
de olifant	Counter({'the elephant': 1})
de omgeving	Counter({'the environment, surroundings': 1})
de onderbroek	Counter({'the undershorts': 1})
de ontspanning	Counter({'the relaxation': 1})
de ontsteking	Counter({'the inflammation': 1})
de onzin	Counter({'the nonsense': 1})
de ooievaar	Counter({'the stork': 1})
de oorlog	Counter({'the war': 1})
de opdracht	Counter({'the task': 1})
de opleiding	Counter({'the education': 1})
de oplossing	Counter({'the solution': 1})
de optie	Counter({'the option': 1})
de orde	Counter({'the order (2)': 1})
de organisatie	Counter({'the organization': 1})
de ouder	Counter({'the parent': 2})
de oven	Counter({'the oven': 1})
de overeenkomst	Counter({'the similarity': 1})
de paashaas	Counter({'the Easter bunny': 1})
de pagina	Counter({'the page': 1})
de pan	Counter({'the pan': 2})
de pannenkoek	Counter({'the pancake': 1})
de paprika	Counter({'the sweet pepper': 1})
de paraplu	Counter({'the umbrella': 1})
de partij	Counter({'the party (political)': 1})
de partner	Counter({'the partner': 1})
de passie	Counter({'the passion': 1})
de patiënt	Counter({'the patient': 1})
de peer	Counter({'the pear': 1})
de pen	Counter({'the pen': 1})
de peper	Counter({'the pepper': 1})
de periode	Counter({'the period': 1})
de persoon	Counter({'the person': 2})
de perzik	Counter({'the peach': 1})
de pijn	Counter({'the ache': 1})
de pindakaas	Counter({'the peanut butter': 1})
de pinpas	Counter({'the debit card': 1})
de plaats	Counter({'the place (general, broad area)': 1})
de plank	Counter({'the plank': 1})
de plattegrond	Counter({'the floor plan': 1})
de plek	Counter({'the place': 1, 'the place (exact location)': 1})
de polder	Counter({'the polder': 1})
de politie	Counter({'the police': 1})
de politiek	Counter({'the politics': 1})
de politieman	Counter({'the police officer': 1})
de pont	Counter({'the ferry': 1})
de positie	Counter({'the position': 1})
de postcode	Counter({'the ZIP code': 1})
de premier	Counter({'the prime minister': 1})
de prijs	Counter({'the price': 2})
de projectondersteuner	Counter({'the project assistant': 1})
de provincie	Counter({'the province': 1})
de pruim	Counter({'the plum': 1})
de psychologie	Counter({'the psychology': 1})
de punt	Counter({'the a) full stop b) item c) point': 1})
de pyjama	Counter({'the pyjamas': 1})
de reactie	Counter({'the reaction': 2})
de reden	Counter({'the reason': 1})
de reep	Counter({'the bar': 1})
de regel	Counter({'the rule': 1})
de reis	Counter({'the trip': 1})
de reiskosten	Counter({'the travel expenses': 1})
de reiskostenvergoeding	Counter({'the compensation for travel expenses': 1})
de rekening	Counter({'the bill': 2})
de rekenmachine	Counter({'the calculator': 1})
de relatie	Counter({'the relation': 1})
de remmen	Counter({'the brakes': 1})
de rest	Counter({'the rest': 1})
de richting	Counter({'the direction': 1})
de riem	Counter({'the belt': 1})
de rij	Counter({'the row': 1})
de rijst	Counter({'the rice': 1})
de ring	Counter({'the ring, the ring road': 1})
de rivier	Counter({'the river': 1})
de rok	Counter({'the skirt': 1})
de rol	Counter({'the roll': 1, 'the role': 1})
de rondvaart	Counter({'the canal cruise': 1})
de rook	Counter({'the smoke': 1})
de roos	Counter({'the rose': 1})
de rug	Counter({'the spine': 1})
de ruimte	Counter({'the space': 1})
de salontafel	Counter({'the coffee table': 1})
de schaamte	Counter({'the shame': 1})
de schaar	Counter({'the scissors': 1})
de schaduw	Counter({'the shadow / shade': 1})
de schat	Counter({'the darling': 1})
de schildpad	Counter({'the turtle': 1})
de schoen	Counter({'the shoe': 2})
de school	Counter({'the school': 3})
de schouder	Counter({'the shoulder': 1})
de schuld	Counter({'the a) debt b) blame': 1})
de sfeer	Counter({'the atmosphere': 1})
de sinaasappel	Counter({'the orange': 1})
de situatie	Counter({'the situation': 2})
de sla	Counter({'the lettuce': 2})
de slaapkamer	Counter({'the bedroom': 3, 'the sleeping room': 1})
de slag	Counter({'the blow': 1})
de slager	Counter({'the butcher': 1})
de slak	Counter({'the snail': 1})
de slang	Counter({'the snake': 1})
de sleutel	Counter({'the key': 1})
de smaak	Counter({'the taste': 1})
de snelweg	Counter({'the highway': 1})
de snor	Counter({'the moustache': 1})
de soep	Counter({'the soup': 1})
de sok	Counter({'the sock (short)': 1})
de sollicitatie	Counter({'the application': 1})
de sollicitatiebrief	Counter({'the application letter': 1})
de soort	Counter({'the kind of': 1})
de spaarzegel	Counter({'the savings stamp': 1})
de spaghetti	Counter({'the spaghetti': 1})
de spiegel	Counter({'the mirror': 1})
de spijkerbroek	Counter({'the jeans': 1})
de spin	Counter({'the spider': 1})
de spinazie	Counter({'the spinach': 1})
de sporthal	Counter({'the sports hall': 1})
de sportschool	Counter({'the gym': 1})
de staart	Counter({'the tail': 1})
de staat	Counter({'the state': 1})
de stad	Counter({'the city': 3})
de stadsfiets	Counter({'the city bike': 1})
de stamppot	Counter({'the mashed potato and vegetables': 1})
de stand	Counter({'the a) position b) score': 1})
de stap	Counter({'the step': 1})
de steen	Counter({'the stone': 2})
de stem	Counter({'the a) voice b) vote': 1})
de ster	Counter({'the star': 1})
de stoel	Counter({'the chair': 2})
de stof	Counter({'the material': 1})
de storm	Counter({'the storm': 1})
de straat	Counter({'the street': 1})
de streek	Counter({'the region': 1})
de strik	Counter({'the bow': 1})
de stroopwafel	Counter({'the syrup waffle': 1})
de stropdas	Counter({'the tie': 1})
de student	Counter({'the student': 2})
de studie	Counter({'the study': 1})
de suiker	Counter({'the sugar': 1})
de supermarkt	Counter({'the supermarket': 2})
de taak	Counter({'the task (2)': 1})
de taal	Counter({'the language': 2})
de taart	Counter({'the pie': 1})
de tafel	Counter({'the table': 2})
de tand	Counter({'the tooth': 1})
de tandarts	Counter({'the dentist': 1})
de taxi	Counter({'the taxi / the cab': 1, 'the taxi': 1})
de teen	Counter({'the toe': 1})
de tekst	Counter({'the text': 1})
de telefoon	Counter({'the phone': 2, 'the telephone': 1})
de televisie	Counter({'the television': 1})
de temperatuur	Counter({'the temperature': 1})
de thee	Counter({'the tea': 2})
de thermometer	Counter({'the thermometer': 1})
de thuisbar	Counter({'the home bar': 1})
de tijd	Counter({'the time': 1})
de tijger	Counter({'the tiger': 1})
de titel	Counter({'the title': 1})
de toekomst	Counter({'the future': 1})
de tomaat	Counter({'the tomato': 2})
de top	Counter({'the top': 1})
de tram	Counter({'the tram': 1})
de trap	Counter({'the stairs': 1})
de trein	Counter({'the train': 2})
de trui	Counter({'the sweater': 1})
de tuin	Counter({'the garden': 2})
de tuinstoel	Counter({'the lawn chair': 1})
de tunnel	Counter({'the tunnel': 1})
